GrammyAward,GrammyYear,Genre,Name,Artist
Best Female Country Vocal Performance,2006,Country,"Jesus, Take the Wheel",Carrie Underwood
Best Male Country Vocal Performance,2006,Country,The Reason Why,Vince Gill
Best Country Song,2006,Country,"Jesus, Take the Wheel",Carrie Underwood
Record Of The Year,2005,General,Boulevard of Broken Dreams,Green Day
Song Of The Year,2005,General,Sometimes you Can't Make it on your Own,"Bono, Adam Clayton, Edge, Larry Mullen Jr), Songwriters (U2"
Best Female Pop Vocal Performance,2005,Pop,Since u Been Gone,Kelly Clarkson
Best Male Pop Vocal Performance,2005,Pop,From the Bottom of My Heart,Stevie Wonder
Best Pop Performance By A Duo Or Group With Vocal,2005,Pop,this Love,Maroon 5
Best Pop Collaboration With Vocals,2005,Pop,Feel Good Inc.,Gorillaz Featuring De La Soul
Best Dance Recording,2005,Dance/Electronic Music,Galvanize,The Chemical Brothers Featuring q-Tip
Best Rock Performance By A Duo Or Group With Vocal,2005,Rock,Sometimes you Can't Make it on your Own,U2
Best Hard Rock Performance,2005,Rock,B.y.o.b.,System of a Down
Best Metal Performance,2005,Rock,Before i Forget,Slipknot
Best Rock Song,2005,Rock,City of Blinding Lights,"Bono, Adam Clayton, Edge, Larry Mullen Jr), Songwriter (U2"
Best Female R&B Vocal Performance,2005,R&B,We Belong Together,Mariah Carey
Best Male R&B Vocal Performance,2005,R&B,Ordinary People,John Legend
Best R&B Performance By A Duo Or Group With Vocals,2005,R&B,So Amazing,beyonc̩ & Stevie Wonder
Best Urban/Alternative Performance,2005,R&B,Welcome to Jamrock,Damian Marley
Best R&B Song,2005,R&B,We Belong Together,Mariah Carey
Best Rap Solo Performance,2005,Rap,Gold Digger,Kanye West
Best Rap Performance By A Duo Or Group,2005,Rap,Don't Phunk with My Heart,The Black Eyed Peas
Best Rap Song,2005,Rap,Diamonds from Sierra Leone,Kanye West
Best Female Country Vocal Performance,2005,Country,The Connection,Emmylou Harris
Best Male Country Vocal Performance,2005,Country,You'll Think of Me,Keith Urban
Best Country Song,2005,Country,Bless the Broken Road,Rascal Flatts
Record Of The Year,2004,General,Here We Go Again,Norah Jones
Song Of The Year,2004,General,Daughters,John Mayer
Best Female Pop Vocal Performance,2004,Pop,Sunrise,Norah Jones
Best Male Pop Vocal Performance,2004,Pop,Daughters,John Mayer
Best Pop Performance By A Duo Or Group With Vocal,2004,Pop,Heaven,Los Lonely Boys
Best Pop Collaboration With Vocals,2004,Pop,Here We Go Again,Norah Jones
Best Dance Recording,2004,Dance/Electronic Music,Toxic,Britney Spears
Best Rock Performance By A Duo Or Group With Vocal,2004,Rock,Vertigo,U2
Best Hard Rock Performance,2004,Rock,Slither,Velvet Revolver
Best Metal Performance,2004,Rock,Whiplash,moțrhead
Best Rock Song,2004,Rock,Vertigo,"Bono, Adam Clayton, the Edge, Larry Mullen, Jr), Songwriter (U2"
Best Female R&B Vocal Performance,2004,R&B,If i Ain't Got you,Alicia Keys
